                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.51616,                0.58289,                0.96936,                0.94452,                0.98904,                  0.995,                0.78766,                0.68359,                0.58952,                 1.3279,               0.006436,               0.006436,               0.006436
                    110,                0.49452,                 0.5463,                 1.0074,                0.92064,                0.83333,                0.93944,                0.74489,                0.74203,                0.73057,                 1.4161,               0.006403,               0.006403,               0.006403
                    111,                0.50944,                0.52213,                0.99553,                0.95563,                 0.9931,                  0.995,                0.86409,                0.69304,                0.61656,                 1.4003,                0.00637,                0.00637,                0.00637
                    112,                0.52967,                 0.5449,                0.99672,                0.95887,                      1,                  0.995,                0.88969,                0.63949,                0.47791,                 1.3158,               0.006337,               0.006337,               0.006337
                    113,                0.51585,                0.56882,                0.98043,                0.94451,                0.99634,                  0.995,                0.86246,                0.58441,                0.57125,                 1.2136,               0.006304,               0.006304,               0.006304
                    114,                0.54394,                0.53004,                 1.0232,                0.93431,                0.98612,                  0.995,                0.85666,                0.69817,                0.55444,                   1.39,               0.006271,               0.006271,               0.006271
                    115,                0.47607,                0.49182,                0.95508,                0.91174,                0.97891,                  0.995,                0.83254,                 0.5644,                0.55063,                  1.153,               0.006238,               0.006238,               0.006238
                    116,                0.47408,                0.51289,                0.98405,                 0.9065,                      1,                  0.995,                0.89779,                0.49634,                0.53436,                 1.0829,               0.006205,               0.006205,               0.006205
                    117,                0.46659,                0.51906,                0.96234,                0.94082,                0.94246,                  0.995,                0.78273,                0.59183,                0.58012,                 1.1685,               0.006172,               0.006172,               0.006172
                    118,                0.47832,                 0.5176,                0.95291,                0.97628,                      1,                  0.995,                0.84807,                0.53993,                0.45605,                 1.1332,               0.006139,               0.006139,               0.006139
                    119,                0.49892,                0.50113,                0.96112,                0.96452,                      1,                  0.995,                0.81863,                0.59556,                0.50493,                 1.1678,               0.006106,               0.006106,               0.006106
                    120,                0.46239,                0.48395,                0.94043,                0.94074,                0.97719,                  0.995,                0.89121,                0.50621,                0.47326,                 1.1207,               0.006073,               0.006073,               0.006073
                    121,                0.46217,                0.46147,                0.97858,                0.97431,                      1,                  0.995,                0.89665,                0.52096,                0.45329,                 1.1015,                0.00604,                0.00604,                0.00604
                    122,                0.48978,                 0.5156,                0.96249,                0.93644,                0.98928,                  0.995,                0.80143,                0.62827,                0.53309,                 1.1397,               0.006007,               0.006007,               0.006007
                    123,                0.49256,                0.53115,                0.99122,                0.97487,                      1,                  0.995,                0.84458,                0.57952,                0.46374,                 1.1402,               0.005974,               0.005974,               0.005974
                    124,                0.47151,                0.48226,                0.99179,                0.98226,                      1,                  0.995,                0.88558,                0.55941,                0.43786,                 1.1116,               0.005941,               0.005941,               0.005941
                    125,                0.46562,                0.47932,                0.94801,                0.98467,                      1,                  0.995,                0.91043,                0.51867,                0.44889,                 1.1145,               0.005908,               0.005908,               0.005908
                    126,                0.47396,                0.50833,                0.95558,                 0.9689,                      1,                  0.995,                0.86913,                0.54445,                 0.4484,                 1.1124,               0.005875,               0.005875,               0.005875
                    127,                0.51525,                0.48939,                0.98428,                0.96973,                      1,                  0.995,                0.87407,                 0.5137,                0.44021,                  1.097,               0.005842,               0.005842,               0.005842
                    128,                0.49133,                0.49296,                 0.9822,                0.97816,                      1,                  0.995,                0.87752,                0.53988,                0.48299,                 1.0961,               0.005809,               0.005809,               0.005809
                    129,                0.46338,                0.45797,                0.94958,                0.98571,                0.98639,                  0.995,                0.86309,                0.60709,                0.48032,                 1.1878,               0.005776,               0.005776,               0.005776
                    130,                0.51386,                0.53056,                0.98969,                0.98061,                      1,                  0.995,                0.89783,                 0.5285,                0.43054,                 1.1035,               0.005743,               0.005743,               0.005743
                    131,                0.47959,                0.47581,                0.96788,                   0.97,                0.98815,                  0.995,                0.86349,                0.54867,                0.50416,                 1.1168,                0.00571,                0.00571,                0.00571
                    132,                0.48786,                0.47889,                0.96669,                0.98747,                0.94943,                  0.995,                0.87556,                0.52193,                0.47672,                 1.0913,               0.005677,               0.005677,               0.005677
                    133,                 0.4582,                0.45963,                0.98008,                0.98514,                0.94641,                  0.995,                0.87077,                0.54918,                0.49243,                 1.1062,               0.005644,               0.005644,               0.005644
                    134,                0.46193,                0.44598,                0.93736,                0.96367,                0.98947,                  0.995,                0.86595,                0.53201,                0.48771,                 1.0774,               0.005611,               0.005611,               0.005611
                    135,                0.48248,                0.50678,                0.96668,                0.97702,                      1,                  0.995,                0.86668,                0.47364,                0.43706,                 1.0759,               0.005578,               0.005578,               0.005578
                    136,                 0.4118,                0.45072,                0.95031,                0.92491,                0.99702,                  0.995,                0.86871,                 0.5007,                0.48828,                 1.0948,               0.005545,               0.005545,               0.005545
                    137,                0.46544,                0.53066,                0.92521,                0.88014,                0.99657,                  0.995,                0.87105,                0.53194,                0.49876,                 1.1073,               0.005512,               0.005512,               0.005512
                    138,                 0.4758,                0.46341,                 0.9837,                0.92646,                 0.9954,                  0.995,                0.84917,                0.56273,                0.46383,                 1.1288,               0.005479,               0.005479,               0.005479
                    139,                0.47771,                0.47067,                0.94832,                0.97939,                      1,                  0.995,                0.85503,                0.54076,                0.40552,                  1.117,               0.005446,               0.005446,               0.005446
                    140,                0.50859,                0.49248,                 1.0063,                0.98511,                      1,                  0.995,                0.88741,                0.49524,                0.38041,                  1.084,               0.005413,               0.005413,               0.005413
                    141,                0.46468,                0.47198,                0.99164,                0.96901,                      1,                  0.995,                0.83503,                0.56166,                0.47285,                 1.1733,                0.00538,                0.00538,                0.00538
                    142,                0.41694,                0.43898,                0.94238,                0.92091,                0.99471,                  0.995,                0.84764,                0.51883,                 0.4778,                 1.0959,               0.005347,               0.005347,               0.005347
                    143,                0.42603,                0.44956,                0.94174,                0.82884,                 0.9894,                  0.995,                0.85633,                0.57021,                0.58781,                 1.1384,               0.005314,               0.005314,               0.005314
                    144,                0.53082,                0.50282,                0.99659,                0.82825,                 0.9899,                  0.995,                0.81604,                0.59614,                0.63356,                 1.1735,               0.005281,               0.005281,               0.005281
                    145,                0.43897,                0.46518,                0.97838,                 0.8213,                0.98847,                  0.995,                0.82711,                0.57987,                0.66491,                 1.1746,               0.005248,               0.005248,               0.005248
                    146,                0.44596,                0.47209,                0.96992,                 0.8258,                0.96591,                  0.995,                0.85926,                0.55513,                0.67155,                 1.1204,               0.005215,               0.005215,               0.005215
                    147,                0.44114,                0.44923,                0.92493,                0.82197,                0.97837,                  0.995,                0.86475,                0.51299,                0.68293,                 1.1122,               0.005182,               0.005182,               0.005182
                    148,                0.40652,                0.41952,                0.92956,                0.82484,                0.99004,                  0.995,                0.87844,                0.49601,                0.60945,                 1.0888,               0.005149,               0.005149,               0.005149
                    149,                0.47205,                0.47849,                0.99378,                0.94988,                      1,                  0.995,                0.83009,                0.53095,                0.47878,                 1.1091,               0.005116,               0.005116,               0.005116
                    150,                0.44592,                0.43971,                0.96964,                0.96419,                0.99304,                  0.995,                0.84342,                0.55376,                0.50974,                  1.126,               0.005083,               0.005083,               0.005083
                    151,                0.44487,                0.44363,                0.90782,                0.95656,                0.99506,                  0.995,                0.89818,                0.54723,                0.44029,                 1.1147,                0.00505,                0.00505,                0.00505
                    152,                0.43165,                0.42591,                0.93432,                0.97452,                0.99497,                  0.995,                0.89917,                0.50869,                0.44501,                 1.0828,               0.005017,               0.005017,               0.005017
                    153,                0.43454,                0.42697,                0.98026,                0.97138,                0.99075,                  0.995,                0.91259,                0.47905,                0.42268,                 1.0471,               0.004984,               0.004984,               0.004984
                    154,                0.52348,                0.47411,                0.99109,                0.96777,                0.99095,                  0.995,                0.92452,                 0.5014,                0.42981,                 1.0553,               0.004951,               0.004951,               0.004951
                    155,                0.43655,                0.44415,                0.94965,                 0.9529,                0.98741,                  0.995,                0.88322,                0.52756,                0.41486,                 1.0819,               0.004918,               0.004918,               0.004918
                    156,                0.38849,                0.39245,                0.93307,                0.95395,                0.98694,                  0.995,                0.90155,                0.52735,                0.40263,                 1.0925,               0.004885,               0.004885,               0.004885
                    157,                0.45185,                0.43412,                0.96008,                0.98569,                 0.9515,                  0.995,                 0.8724,                0.52898,                0.42306,                 1.1137,               0.004852,               0.004852,               0.004852
                    158,                 0.4486,                0.42401,                0.95901,                0.96392,                 0.9763,                  0.995,                0.86286,                0.49753,                0.43095,                  1.084,               0.004819,               0.004819,               0.004819
                    159,                0.40802,                 0.4156,                0.94139,                 0.9666,                0.93333,                0.97595,                0.88472,                0.50625,                0.42876,                 1.1023,               0.004786,               0.004786,               0.004786
                    160,                0.42811,                0.44591,                0.96844,                0.96699,                0.93333,                0.97595,                0.85154,                0.54033,                0.45831,                 1.0988,               0.004753,               0.004753,               0.004753
                    161,                0.44288,                0.44919,                0.96592,                0.95502,                0.93333,                0.98389,                0.85194,                 0.6094,                0.43036,                 1.1522,                0.00472,                0.00472,                0.00472
                    162,                0.41305,                0.46663,                0.93597,                 0.9629,                0.93333,                0.98389,                0.86012,                0.61075,                0.41809,                 1.1365,               0.004687,               0.004687,               0.004687
                    163,                0.42045,                0.41369,                0.93579,                0.98102,                0.95043,                  0.995,                0.87758,                0.53172,                0.37781,                 1.0621,               0.004654,               0.004654,               0.004654
                    164,                0.45884,                0.46599,                0.98465,                0.96187,                0.96922,                  0.995,                0.90063,                0.48687,                0.34917,                 1.0488,               0.004621,               0.004621,               0.004621
                    165,                0.45947,                0.43028,                0.96881,                 0.9868,                0.94274,                  0.995,                0.88515,                0.45422,                0.36672,                 1.0298,               0.004588,               0.004588,               0.004588
                    166,                0.41689,                0.41387,                0.94461,                0.98714,                0.94491,                  0.995,                0.90718,                0.44381,                0.34265,                 1.0229,               0.004555,               0.004555,               0.004555
                    167,                0.42911,                0.43141,                 0.9254,                0.96681,                0.96477,                  0.995,                0.92445,                0.44863,                0.33187,                 1.0114,               0.004522,               0.004522,               0.004522
                    168,                0.42792,                0.42187,                 0.9362,                  0.956,                0.98981,                  0.995,                0.92449,                 0.4553,                0.32645,                 1.0153,               0.004489,               0.004489,               0.004489
                    169,                0.43323,                0.41933,                0.97836,                0.95832,                0.99069,                  0.995,                0.93669,                0.45355,                0.32482,                 1.0709,               0.004456,               0.004456,               0.004456
                    170,                 0.4097,                0.40101,                0.95347,                0.95005,                0.98194,                  0.995,                0.91428,                0.45894,                0.32642,                 1.0432,               0.004423,               0.004423,               0.004423
                    171,                0.45845,                0.42493,                0.94369,                0.94729,                0.98973,                  0.995,                0.88143,                0.47955,                0.36832,                 1.0489,                0.00439,                0.00439,                0.00439
                    172,                0.42711,                0.42977,                0.94207,                0.95473,                0.96517,                  0.995,                0.90155,                 0.4995,                0.40875,                 1.0545,               0.004357,               0.004357,               0.004357
                    173,                0.41797,                0.40217,                0.95412,                0.95684,                0.93705,                  0.995,                0.87156,                0.59306,                 0.4708,                 1.1608,               0.004324,               0.004324,               0.004324
                    174,                0.41497,                0.40124,                0.95656,                0.97361,                0.94013,                  0.995,                0.85439,                0.64129,                0.43061,                 1.1942,               0.004291,               0.004291,               0.004291
                    175,                 0.3838,                 0.3935,                0.93772,                0.98015,                 0.9436,                  0.995,                0.86974,                0.65099,                0.43128,                 1.2127,               0.004258,               0.004258,               0.004258
                    176,                0.38022,                0.42753,                0.92506,                0.98108,                0.94834,                  0.995,                0.87813,                0.56823,                 0.4575,                 1.1153,               0.004225,               0.004225,               0.004225
                    177,                0.40407,                 0.3778,                0.93777,                0.95601,                0.98596,                  0.995,                 0.8675,                0.57294,                0.39659,                 1.1337,               0.004192,               0.004192,               0.004192
                    178,                0.38641,                0.39484,                0.90636,                0.96768,                0.99104,                  0.995,                0.86273,                0.59261,                0.39901,                 1.1639,               0.004159,               0.004159,               0.004159
                    179,                0.37161,                0.37136,                0.92464,                0.97454,                0.99719,                  0.995,                0.87595,                0.55051,                0.38665,                 1.1214,               0.004126,               0.004126,               0.004126
                    180,                0.43556,                0.42477,                0.92872,                0.97363,                0.99764,                  0.995,                  0.873,                0.50346,                0.36493,                 1.0715,               0.004093,               0.004093,               0.004093
                    181,                0.41584,                0.41887,                0.94066,                0.97263,                      1,                  0.995,                0.86502,                0.49319,                0.34851,                 1.0473,                0.00406,                0.00406,                0.00406
                    182,                0.38048,                0.38063,                0.92227,                0.97221,                      1,                  0.995,                0.88712,                0.46693,                0.36661,                 1.0249,               0.004027,               0.004027,               0.004027
                    183,                 0.4118,                0.40136,                 0.9436,                0.96434,                0.99307,                  0.995,                0.89519,                 0.4822,                0.35384,                 1.0368,               0.003994,               0.003994,               0.003994
                    184,                 0.3986,                0.40829,                0.93055,                0.97075,                0.99497,                  0.995,                0.89329,                0.49612,                 0.3357,                 1.0407,               0.003961,               0.003961,               0.003961
                    185,                 0.4111,                0.40723,                0.92238,                0.97938,                      1,                  0.995,                0.88177,                 0.5216,                0.33738,                 1.0624,               0.003928,               0.003928,               0.003928
                    186,                0.38367,                0.38017,                0.91772,                0.97605,                      1,                  0.995,                0.87522,                0.55528,                0.34697,                 1.0928,               0.003895,               0.003895,               0.003895
                    187,                 0.3757,                0.37029,                 0.9005,                0.97171,                      1,                  0.995,                0.86481,                0.56531,                0.38583,                 1.1162,               0.003862,               0.003862,               0.003862
                    188,                0.35456,                0.36979,                0.92299,                0.96181,                 0.9992,                  0.995,                 0.8689,                0.55631,                0.36047,                 1.1006,               0.003829,               0.003829,               0.003829
                    189,                0.39151,                0.36452,                0.92965,                0.97107,                      1,                  0.995,                0.87521,                0.56408,                0.35378,                 1.0927,               0.003796,               0.003796,               0.003796
                    190,                0.38996,                 0.4347,                0.94327,                0.97696,                      1,                  0.995,                0.86374,                0.57396,                0.36384,                  1.112,               0.003763,               0.003763,               0.003763
                    191,                0.34822,                0.37998,                0.90517,                0.97933,                      1,                  0.995,                0.86543,                0.49873,                  0.318,                 1.0465,                0.00373,                0.00373,                0.00373
                    192,                0.40537,                0.40499,                0.95852,                0.97924,                      1,                  0.995,                0.86956,                0.49827,                0.36458,                 1.0664,               0.003697,               0.003697,               0.003697
                    193,                0.38491,                0.36729,                0.92858,                0.98298,                      1,                  0.995,                0.89654,                0.48567,                0.40246,                  1.064,               0.003664,               0.003664,               0.003664
                    194,                0.39851,                0.38604,                0.93528,                0.97997,                      1,                  0.995,                0.89292,                0.49456,                0.40048,                 1.0461,               0.003631,               0.003631,               0.003631
                    195,                0.37874,                0.37637,                 0.9285,                0.96801,                0.99734,                  0.995,                0.87105,                0.49644,                 0.3797,                 1.0379,               0.003598,               0.003598,               0.003598
                    196,                0.35597,                0.36861,                0.91231,                0.95667,                0.99129,                  0.995,                0.86173,                 0.4856,                0.33842,                 1.0258,               0.003565,               0.003565,               0.003565
                    197,                0.34879,                0.35706,                0.91004,                0.98783,                0.94204,                  0.995,                0.85851,                0.49496,                0.35035,                 1.0241,               0.003532,               0.003532,               0.003532
                    198,                0.36873,                0.36202,                 0.9302,                0.98093,                0.93333,                0.98389,                0.85717,                0.50655,                0.37117,                  1.027,               0.003499,               0.003499,               0.003499
                    199,                0.36752,                 0.3261,                0.93638,                0.98178,                0.93333,                0.98389,                0.87517,                0.47356,                0.35596,                 1.0112,               0.003466,               0.003466,               0.003466
                    200,                0.37379,                0.38421,                0.92387,                0.98685,                0.93896,                  0.995,                0.89526,                0.46719,                0.35215,                  1.006,               0.003433,               0.003433,               0.003433
                    201,                0.38968,                0.40282,                0.93117,                0.96425,                0.99407,                  0.995,                0.90799,                0.46766,                0.35103,                0.99723,                 0.0034,                 0.0034,                 0.0034
                    202,                0.34346,                0.37645,                0.91651,                0.97271,                      1,                  0.995,                0.89053,                0.49665,                0.35167,                  1.012,               0.003367,               0.003367,               0.003367
                    203,                0.32133,                0.31861,                0.90596,                0.97525,                      1,                  0.995,                0.86771,                0.53408,                0.39024,                 1.0459,               0.003334,               0.003334,               0.003334
                    204,                0.35968,                0.37025,                0.92314,                0.97102,                0.99458,                  0.995,                0.88859,                0.50523,                0.36056,                 1.0168,               0.003301,               0.003301,               0.003301
                    205,                0.35041,                0.35324,                0.91008,                0.97225,                0.99304,                  0.995,                0.88755,                0.48902,                0.31333,                 1.0256,               0.003268,               0.003268,               0.003268
                    206,                0.37349,                0.32897,                 0.9057,                0.97966,                      1,                  0.995,                0.87283,                0.47188,                0.29853,                 1.0231,               0.003235,               0.003235,               0.003235
                    207,                 0.3304,                0.32642,                0.92343,                0.98107,                      1,                  0.995,                0.87685,                0.48604,                0.28498,                 1.0388,               0.003202,               0.003202,               0.003202
                    208,                0.36253,                0.36699,                0.93033,                0.98111,                      1,                  0.995,                0.87153,                0.46531,                0.28194,                  1.027,               0.003169,               0.003169,               0.003169
                    209,                0.33784,                0.34999,                0.91088,                0.98183,                      1,                  0.995,                0.86707,                0.48197,                0.29033,                  1.025,               0.003136,               0.003136,               0.003136
                    210,                0.36279,                0.37253,                0.92232,                0.98272,                      1,                  0.995,                0.86426,                 0.4996,                0.29831,                 1.0437,               0.003103,               0.003103,               0.003103
                    211,                  0.324,                0.37605,                0.90658,                0.97813,                      1,                  0.995,                0.88104,                0.53612,                0.27541,                  1.136,                0.00307,                0.00307,                0.00307
                    212,                0.32232,                0.31312,                0.90576,                0.97815,                      1,                  0.995,                 0.8917,                 0.5458,                0.29243,                 1.1512,               0.003037,               0.003037,               0.003037
                    213,                0.36482,                0.39239,                 0.9338,                0.98037,                      1,                  0.995,                0.86127,                0.53784,                0.31185,                 1.0874,               0.003004,               0.003004,               0.003004
                    214,                0.32052,                0.34482,                0.88649,                0.98365,                      1,                  0.995,                0.86127,                0.51174,                0.31079,                 1.0538,               0.002971,               0.002971,               0.002971
                    215,                0.36935,                0.35284,                0.94613,                0.98384,                      1,                  0.995,                0.88624,                0.46584,                0.29002,                 1.0168,               0.002938,               0.002938,               0.002938
                    216,                0.32636,                0.32532,                 0.9142,                0.97639,                0.99917,                  0.995,                0.86222,                0.47869,                0.28378,                 1.0304,               0.002905,               0.002905,               0.002905
                    217,                0.32892,                0.33799,                0.88241,                0.96809,                 0.9926,                  0.995,                0.87181,                0.48062,                0.29305,                 1.0243,               0.002872,               0.002872,               0.002872
                    218,                0.38054,                0.35741,                0.95875,                0.97638,                0.99693,                  0.995,                0.89851,                0.47143,                0.30381,                 1.0209,               0.002839,               0.002839,               0.002839
                    219,                0.33547,                0.32238,                0.92748,                0.98138,                      1,                  0.995,                 0.8817,                0.48347,                0.32178,                 1.0269,               0.002806,               0.002806,               0.002806
